id;kode_provinsi;nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;nama_puskesmas;jenis_kelamin;jumlah_bayi;satuan;tahun
103;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CITEUREUP;LAKI-LAKI;387;ORANG;2020
104;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CITEUREUP;PEREMPUAN;375;ORANG;2020
105;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIMAHI SELATAN;LAKI-LAKI;326;ORANG;2021
106;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIMAHI SELATAN;PEREMPUAN;323;ORANG;2021
107;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;LEUWIGAJAH;LAKI-LAKI;346;ORANG;2021
108;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;LEUWIGAJAH;PEREMPUAN;315;ORANG;2021
109;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEBER;LAKI-LAKI;283;ORANG;2021
110;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEBER;PEREMPUAN;266;ORANG;2021
111;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEUREUM;LAKI-LAKI;611;ORANG;2021
112;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEUREUM;PEREMPUAN;566;ORANG;2021
113;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;LAKI-LAKI;326;ORANG;2021
114;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;PEREMPUAN;335;ORANG;2021
115;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG TENGAH;LAKI-LAKI;260;ORANG;2021
116;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG TENGAH;PEREMPUAN;267;ORANG;2021
117;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;LAKI-LAKI;287;ORANG;2021
118;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;PEREMPUAN;234;ORANG;2021
119;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;LAKI-LAKI;551;ORANG;2021
120;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;PEREMPUAN;531;ORANG;2021
121;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;PADASUKA;LAKI-LAKI;605;ORANG;2021
122;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;PADASUKA;PEREMPUAN;665;ORANG;2021
123;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIMAHI UTARA;LAKI-LAKI;578;ORANG;2021
124;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIMAHI UTARA;PEREMPUAN;548;ORANG;2021
125;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;PASIRKALIKI;LAKI-LAKI;177;ORANG;2021
126;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;PASIRKALIKI;PEREMPUAN;190;ORANG;2021
127;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIPAGERAN;LAKI-LAKI;335;ORANG;2021
128;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIPAGERAN;PEREMPUAN;364;ORANG;2021
129;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CITEUREUP;LAKI-LAKI;473;ORANG;2021
130;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CITEUREUP;PEREMPUAN;476;ORANG;2021
131;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIMAHI SELATAN;LAKI-LAKI;336;ORANG;2022
132;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIMAHI SELATAN;PEREMPUAN;333;ORANG;2022
133;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;LEUWIGAJAH;LAKI-LAKI;362;ORANG;2022
134;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;LEUWIGAJAH;PEREMPUAN;358;ORANG;2022
135;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEBER;LAKI-LAKI;267;ORANG;2022
136;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEBER;PEREMPUAN;265;ORANG;2022
137;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEUREUM;LAKI-LAKI;546;ORANG;2022
138;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEUREUM;PEREMPUAN;541;ORANG;2022
139;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;LAKI-LAKI;357;ORANG;2022
140;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;PEREMPUAN;354;ORANG;2022
141;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG TENGAH;LAKI-LAKI;272;ORANG;2022
142;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG TENGAH;PEREMPUAN;269;ORANG;2022
143;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;LAKI-LAKI;255;ORANG;2022
144;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;PEREMPUAN;253;ORANG;2022
145;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;LAKI-LAKI;534;ORANG;2022
146;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;PEREMPUAN;529;ORANG;2022
